main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
78,경남,요가,48,박미선,2층,1,365건강드림운동센터,1,경상남도 진주시 진성면 동부로 1316,진주시,52621,48170,7422900920,,,True
79,경기,필라테스,41,이철우,종성빌딩 2층 3포인트짐(호평동),2,3포인트짐,1,경기도 남양주시 호평로45번길 38,남양주시,12147,41360,7380300940,,,True
73,대구,야구,27,최영열,4번타자 베이스볼(장기동),3,4번타자,1,대구광역시 달서구 문화회관5길 12,달서구,42699,27290,8731900716,,,True
76,충남,복싱,44,김지영,지하1층 복싱클럽,4,5310복싱클럽,1,충청남도 태안군 태안읍 동문1길 70,태안군,32143,44825,6829000690,,,True
3,전남,기타종목,46,문남정,2층 55점핑(학동),5,55점핑&다이어트찜질,1,전라남도 여수시 무선로 12,여수시,59672,46130,5690402131,,,True
12,광주,수영,29,김태현,1층(금호동),6,573스위밍풀,1,광주광역시 서구 금호만호길 45-33,서구,62009,29140,3919000760,,,True
12,광주,수영,29,김광우,1층 573스위밍풀 효천점(임암동),7,573스위밍풀 효천점,1,광주광역시 남구 효천길 3,남구,61754,29155,4939301687,,,True
4,서울,농구,11,오다연,B2(홍제동),8,59스포츠,1,서울특별시 서대문구 통일로 448,서대문구,3629,11410,3740901669,,,True
78,경기,요가,41,이은자,경기도 이천시 샘재로 155번지 동춘빌딩 4층 빠딴잘리요가원,9,679  06  01675,1,경기도 이천시 장호원읍 샘재로 155,이천시,17418,41500,6790601675,,,True
3,인천,기타종목,28,배선호,357중앙빌딩5층,10,707특공무술,14766,인천 연수구 선학동,연수구,406090,28185,1312034971,,,True
25,부산,헬스,26,이창현,"3층 808피트니스(암남동, 송도혜성주상복합빌딩)",11,808피트니스,1,부산광역시 서구 충무대로 24,서구,49269,26140,8433200451,,,True
76,경기,복싱,41,최낙천,(포승삼부르네상스2단지) 2층,12,88복싱클럽 ,1,경기도 평택시 포승읍 여술로43번길 18,평택시,17954,41220,5069606994,,,True
78,제주,요가,50,고영숙,2층 소마요가원,13,소마요가원,1,제주특별자치도 제주시 구좌읍 일주동로 3715,제주시,63364,50110,4453500729,강좌,0647823198,True
3,인천,기타종목,28,유정민,4층 99스피닝(가정동),14,99스피닝,1,인천광역시 서구 가정로 376,서구,22777,28260,4113011704,,,True
20,전남,축구,46,김형필,99풋살장(연향동),15,99실내풋살장,1,전라남도 순천시 덕암길 106,순천시,57991,46150,6765400305,,,True
22,전남,태권도,46,홍정훈,"상가3층 303-2호(연향동, 대우아파트)",16,ABC태권스쿨,22991,전라남도 순천시 연향2로 55,순천시,57976,46150,7059800102,,,True
22,대구,태권도,27,이윤석, 1941번지,17,ALL바른 태권도,3491,대구 달서구 송현1동,달서구,704341,27290,5149133987,,,True
22,경남,태권도,48,방종운,"402, 403호 (남문동)",18,ALL바른태권도장,1,경상남도 창원시 진해구 웅천동로106번길 7,창원시,51617,48120,6899501133,,,True
25,경남,헬스,48,김영준,아주스타타워 7층(칠암동),19,AJ스파휘트니스,1,경상남도 진주시 동진로 22,진주시,52726,48170,3833700968,강좌,0557617112,True
3,전남,기타종목,46,박희철,205호 (학동),20,AT주짓수,1,전라남도 여수시 무선로 6,여수시,59672,46130,8253000046,,,True
4,경기,농구,41,박지원,"801호(수내동, 수내동 다운타운)",21,AWESOME 스포츠 아카데미 ,1,경기도 성남시 분당구 백현로 97,성남시,13595,41130,5189901561,,,True
6,울산,롤러인라인,31,안종호,6층,22,A미코스텔라 인라인클럽(인라인강습),2,울산광역시 남구 신복로72번길 28-23,남구,44600,31140,3584800541,,,True
76,울산,복싱,31,김태호,4층(동부동),23,B.K복싱,20581,울산광역시 동구 동해안로 43,동구,44006,31170,6209098406,,,True
3,경남,기타종목,48,김미선,2층(상동동),24,B.T.S유소년스포츠클럽,1,경상남도 거제시 거제중앙로 1739,거제시,53287,48310,1552300992,,,True
76,울산,복싱,31,이광은,(달동),25,BA복싱클럽,18646,울산 남구 왕생로,남구,680805,31140,6109198314,,,True
17,경기,유도,41,박윤기,603호(비전동),26,(JNS)유도체육관,1,경기도 평택시 비전2로 200,평택시,17854,41220,6369101790,강좌,,True
4,경기,농구,41,백승신,BBC 농구교실(반정동),27,BBC농구교실,1,경기도 화성시 반정로153번길 3-1,화성시,18374,41590,7895300211,,,True
25,부산,헬스,26,김찬수,호박유통 4층(대연동),28,BD Fitness(비디 피트니스),1,부산광역시 남구 못골번영로50번길 20,남구,48437,26290,4314200392,,,True
76,경기,복싱,41,조환영,덕문빌딩 2층 BEAT복싱 체육관(괴안동),29,BEAT복싱 역곡,1,경기도 부천시 경인로536번길 49,부천시,14679,41190,8979000268,,,True
20,전북,축구,52,안광수,A클래스풋살클럽(호성동1가),30,A클래스풋살클럽,1,전라북도 전주시 덕진구 지행당길 114,전주시,54817,52110,5068212596,강좌,,True
76,경기,복싱,41,김명현,로뎀타워 302호(별내동),31,3R복싱,1,경기도 남양주시 별내중앙로 34,남양주시,12113,41360,1329278488,강좌,0315749879,True
79,경기,필라테스,41,김영태,라온빌딩3층 301호 포엠필라테스,32,4m필라테스,1,경기도 남양주시 진접읍 해밀예당1로 50-74,남양주시,12066,41360,1850500664,강좌,0315755411,True
22,울산,태권도,31,박경민,3층 5관금강태권도(중산동),33,5관금강태권도,1,울산광역시 북구 중산서로 18,북구,44213,31200,7399300298,강좌,0522937250,True
22,경기,태권도,41,문주만,(수택동) 지층 101호,34,태신태권도장 주짓수 24짐,15007,경기도 구리시 경춘로276번길 33-6,구리시,11930,41310,1329079687,강좌,,True
76,경북,복싱,47,문봉교,BK복싱클럽 (평화동),35,BK복싱클럽,18214,경상북도 김천시 평화3길 34,김천시,740982,47150,5109032112,,,True
76,경남,복싱,48,장권복,대흥빌딩 501호,36,BK비스트GYM,1,경상남도 김해시 진영읍 장등로 9,김해시,50862,48250,3387000325,,,True
75,경남,합기도,48,김민규,2층 합기도(지내동),37,BK합기도 7관,1,경상남도 김해시 분성로727번길 2,김해시,50827,48250,6029405061,,,True
25,경기,헬스,41,김지호,굿모닝 프라자 401호 (BM)(서현동),38,BM (비엠),1,경기도 성남시 분당구 분당로263번길 35,성남시,13587,41130,1293706960,,,True
76,경기,복싱,41,정명언,3층 BMP복싱,39,BMP복싱,1,경기도 김포시 통진읍 조강로36번길 6,김포시,10018,41570,7739200291,,,True
20,부산,축구,26,김민숙,2층 (BNG 축구클럽)(남천동),40,BNGFC 축구클럽,1,부산광역시 수영구 수영로 407,수영구,48316,26500,2014800565,,,True
22,세종,태권도,36,이권복,지하1층(도담동),41,BOK태권도,1,세종특별자치시 보듬8로 39,세종시,30098,36110,4999601196,,,True
