pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
박미선,1,7422900920,True,365건강드림운동센터,요가,경남,48,경상남도 진주시 진성면 동부로 13162층,
이철우,1,7380300940,True,3포인트짐,필라테스,경기,41,경기도 남양주시 호평로45번길 38종성빌딩 2층 3포인트짐(호평동),
최영열,1,8731900716,True,4번타자,야구,대구,27,대구광역시 달서구 문화회관5길 124번타자 베이스볼(장기동),
김지영,1,6829000690,True,5310복싱클럽,복싱,충남,44,충청남도 태안군 태안읍 동문1길 70지하1층 복싱클럽,
문남정,1,5690402131,True,55점핑&다이어트찜질,기타종목,전남,46,전라남도 여수시 무선로 122층 55점핑(학동),
김태현,1,3919000760,True,573스위밍풀,수영,광주,29,광주광역시 서구 금호만호길 45-331층(금호동),
김광우,1,4939301687,True,573스위밍풀 효천점,수영,광주,29,광주광역시 남구 효천길 31층 573스위밍풀 효천점(임암동),
오다연,1,3740901669,True,59스포츠,농구,서울,11,서울특별시 서대문구 통일로 448B2(홍제동),
이은자,1,6790601675,True,679  06  01675,요가,경기,41,경기도 이천시 장호원읍 샘재로 155경기도 이천시 샘재로 155번지 동춘빌딩 4층 빠딴잘리요가원,
배선호,14766,1312034971,True,707특공무술,기타종목,인천,28,인천 연수구 선학동357중앙빌딩5층,
이창현,1,8433200451,True,808피트니스,헬스,부산,26,"부산광역시 서구 충무대로 243층 808피트니스(암남동, 송도혜성주상복합빌딩)",
최낙천,1,5069606994,True,88복싱클럽 ,복싱,경기,41,경기도 평택시 포승읍 여술로43번길 18(포승삼부르네상스2단지) 2층,
고영숙,1,4453500729,True,소마요가원,요가,제주,50,제주특별자치도 제주시 구좌읍 일주동로 37152층 소마요가원,0647823198
유정민,1,4113011704,True,99스피닝,기타종목,인천,28,인천광역시 서구 가정로 3764층 99스피닝(가정동),
김형필,1,6765400305,True,99실내풋살장,축구,전남,46,전라남도 순천시 덕암길 10699풋살장(연향동),
홍정훈,22991,7059800102,True,ABC태권스쿨,태권도,전남,46,"전라남도 순천시 연향2로 55상가3층 303-2호(연향동, 대우아파트)",
이윤석,3491,5149133987,True,ALL바른 태권도,태권도,대구,27,대구 달서구 송현1동 1941번지,
방종운,1,6899501133,True,ALL바른태권도장,태권도,경남,48,"경상남도 창원시 진해구 웅천동로106번길 7402, 403호 (남문동)",
김영준,1,3833700968,True,AJ스파휘트니스,헬스,경남,48,경상남도 진주시 동진로 22아주스타타워 7층(칠암동),0557617112
박희철,1,8253000046,True,AT주짓수,기타종목,전남,46,전라남도 여수시 무선로 6205호 (학동),
박지원,1,5189901561,True,AWESOME 스포츠 아카데미 ,농구,경기,41,"경기도 성남시 분당구 백현로 97801호(수내동, 수내동 다운타운)",
안종호,2,3584800541,True,A미코스텔라 인라인클럽(인라인강습),롤러인라인,울산,31,울산광역시 남구 신복로72번길 28-236층,
김태호,20581,6209098406,True,B.K복싱,복싱,울산,31,울산광역시 동구 동해안로 434층(동부동),
김미선,1,1552300992,True,B.T.S유소년스포츠클럽,기타종목,경남,48,경상남도 거제시 거제중앙로 17392층(상동동),
이광은,18646,6109198314,True,BA복싱클럽,복싱,울산,31,울산 남구 왕생로(달동),
박윤기,1,6369101790,True,(JNS)유도체육관,유도,경기,41,경기도 평택시 비전2로 200603호(비전동),
백승신,1,7895300211,True,BBC농구교실,농구,경기,41,경기도 화성시 반정로153번길 3-1BBC 농구교실(반정동),
김찬수,1,4314200392,True,BD Fitness(비디 피트니스),헬스,부산,26,부산광역시 남구 못골번영로50번길 20호박유통 4층(대연동),
조환영,1,8979000268,True,BEAT복싱 역곡,복싱,경기,41,경기도 부천시 경인로536번길 49덕문빌딩 2층 BEAT복싱 체육관(괴안동),
안광수,1,5068212596,True,A클래스풋살클럽,축구,전북,52,전라북도 전주시 덕진구 지행당길 114A클래스풋살클럽(호성동1가),
김명현,1,1329278488,True,3R복싱,복싱,경기,41,경기도 남양주시 별내중앙로 34로뎀타워 302호(별내동),0315749879
김영태,1,1850500664,True,4m필라테스,필라테스,경기,41,경기도 남양주시 진접읍 해밀예당1로 50-74라온빌딩3층 301호 포엠필라테스,0315755411
박경민,1,7399300298,True,5관금강태권도,태권도,울산,31,울산광역시 북구 중산서로 183층 5관금강태권도(중산동),0522937250
문주만,15007,1329079687,True,태신태권도장 주짓수 24짐,태권도,경기,41,경기도 구리시 경춘로276번길 33-6(수택동) 지층 101호,
문봉교,18214,5109032112,True,BK복싱클럽,복싱,경북,47,경상북도 김천시 평화3길 34BK복싱클럽 (평화동),
장권복,1,3387000325,True,BK비스트GYM,복싱,경남,48,경상남도 김해시 진영읍 장등로 9대흥빌딩 501호,
김민규,1,6029405061,True,BK합기도 7관,합기도,경남,48,경상남도 김해시 분성로727번길 22층 합기도(지내동),
김지호,1,1293706960,True,BM (비엠),헬스,경기,41,경기도 성남시 분당구 분당로263번길 35굿모닝 프라자 401호 (BM)(서현동),
정명언,1,7739200291,True,BMP복싱,복싱,경기,41,경기도 김포시 통진읍 조강로36번길 63층 BMP복싱,
김민숙,1,2014800565,True,BNGFC 축구클럽,축구,부산,26,부산광역시 수영구 수영로 4072층 (BNG 축구클럽)(남천동),
이권복,1,4999601196,True,BOK태권도,태권도,세종,36,세종특별자치시 보듬8로 39지하1층(도담동),
허지원,1,2229201531,True,  국민재활발달센터,기타종목,대구,27,대구광역시 수성구 범안로 543층(범물동),
전성배,1,1239532330,True, (구)SB복싱멀티짐,복싱,경기,41,경기도 고양시 일산서구 가좌로 102층 SB복싱멀티짐(가좌동),
최재식,18888,3039064210,True, 강성 체육관 킥복싱 무에타이,복싱,충북,43,충청북도 충주시 계명대로 228(연수동) 3층,
홍성임,1,5188200185,True, 동구국민체육센터,수영,울산,31,울산광역시 동구 봉수로 153(화정동),
한경욱,1,6031379475,True, 익산엑스짐,기타종목,전북,45,전라북도 익산시 고봉로 3085층 익산엑스짐(영등동),
이춘남,1,7683501112,True, 캡스톤주짓수,기타종목,전남,46,전라남도 장흥군 장흥읍 중앙로 72층,
박성우,1,8929400897,True,(#)복싱짐,복싱,경남,48,경상남도 진주시 진양호로 912층 201호(평거동),
최희리,1,6121130278,True,(CHK)씨에이치케이휘트니스,요가,경남,48,경상남도 거제시 중곡로 13(고현동),
유동훈,1,1959900597,True,(Dream ofJudo) 유성유도관,유도,대전,30,대전광역시 유성구 계룡로 150승호빌딩 501호(봉명동),
홍소라,1,5569500737,True,(Dreamofjudo)영동유도관,유도,충북,43,충청북도 영동군 영동읍 계산로 35-12층 영동유도관,
최동훈,9175,1349039186,True,(HTS)경희대 석사 태권도장,태권도,경기,41,"경기도 안산시 단원구 광덕4로 108(고잔동, 고잔프라자 5층)",
박종서,7917,5149121818,True,(I.CAN) 아이캔태권도장,태권도,대구,27,대구광역시 달서구 조암남로 172-123층(유천동),
염세진,1,8819300696,True,(JNS)유도멀티짐,유도,경기,41,경기도 용인시 기흥구 강남로 9태평양프라자 201호 Jns유도멀티짐(구갈동),
김동현,1,6230301216,True,(JY.Grit5)제이와이.그릿파이브,기타종목,부산,26,부산광역시 강서구 과학산단로334번길 7유진프라자 3층 302호 체육관(지사동),
Ryu Jayden Jungki,1,2539000809,True,(KHU) 경희대 태권도장,태권도,경기,41,"경기도 고양시 덕양구 중앙로 440센타프라자 1083-2, 4층 402호(행신동)",
김민영,1,7681801610,True,(KSA)한국체대입시학원,기타종목,서울,11,서울특별시 송파구 백제고분로 63지층층 101호 KSA한국체대입시학원(잠실동),
나정현,1,2159517676,True,(ktigers)남동탄점(화성관),태권도,경기,41,경기도 화성시 동탄장지천3길 3-61층k타이거즈(장지동),
이삼심,25827,6403600092,True,(가)천안W축구교실,축구,충남,44,충청남도 천안시 동남구 가마골1길 12천안풋살장(신부동),
전경섭,16592,3129173608,True,(권곡동)사계절푸른솔태권도,태권도,충남,44,충남 아산시 권곡동 한성 하우시스 4층 ,
정인기,1,8568100722,True,(비대면)KEEPFIT,기타종목,서울,11,서울특별시 강남구 선릉로 428WEWORK 선릉3호점 14층(대치동),
최미순,22175,8118200027,True,(사) 세한스포츠클럽,헬스,전남,46,전라남도 영암군 삼호읍 녹색로 1113세한대학교 학생복지회관 3층 세한스포츠클럽,
김명남,1,8868200259,True,사강진스포츠클럽,수영,전남,46,전라남도 강진군 군동면 종합운동장길 60종합운동장,0614337333
최종국,1,1228211744,True,(사)계양스포츠클럽,배드민턴,인천,28,인천광역시 계양구 박촌로 4박촌체육문화센터(방축동),0325487330
박성순,1,6030188796,True,BK승마랜드,승마,경남,48,경상남도 김해시 대동면 대동로 949-64bk승마랜드,0553239688
김태혁,17504,2179132772,True,건국대창헌태권도,태권도,서울,11,서울 노원구 상계동건영아파트상가 2층 204호,029375435
김건태,1,1059463105,True,(JTA)가온누리태권도,태권도,전북,52,전라북도 순창군 순창읍 장류로 3802층 가온누리 태권도,
윤오남,26725,5018243342,True,(사)광주거점스포츠클럽,태권도,광주,29,"광주광역시 서구 금화로 240203호(풍암동, 월드컵경기장)(풍암동)",
송태종,1,4038215256,True,(사)광주광역시 서구 스포츠클럽,기타종목,광주,29,광주광역시 서구 상무누리로 123전천후게이트볼장 2층(치평동) 서구스포츠클럽,
안민주,1,3548200164,True,(사)나주스포츠클럽,요가,전남,46,전라남도 나주시 동신대길 113건재로 185 동신대학교 체육관 329호(대호동),
김원식,1,3638200154,True,(사)부산광역시거점스포츠클럽,테니스,부산,26,부산광역시 동래구 종합운동장로 35-6부산종합실내테니스장 관리동2층 거점스포츠클럽(사직동),
이수웅,1,2018270575,True,(사)부산중구스포츠클럽,헬스,부산,26,부산광역시 중구 영주로 89(사)부산중구스포츠클럽_구)중구웰빙체육관(영주동),
