순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,CTPRVN_CD,시도코드,VARCHAR,2,,
2,CTPRVN_NM,시도명,VARCHAR,50,,
3,SIGNGU_CD,시군구코드,VARCHAR,5,,
4,SIGNGU_NM,시군구명,VARCHAR,100,,
5,FCLTY_NM,시설명,VARCHAR,50,,
6,RPRSNTV_NM,대표자명,VARCHAR,50,,
7,RPRSNTV_TEL_NO,대표자전화번호,VARCHAR,20,,
8,ZIP_NO,우편번호,VARCHAR,6,,
9,FCLTY_ADDR,시설주소,VARCHAR,100,,
10,DETAIL_ADDR,상세주소,VARCHAR,100,,
11,ITEM_CD,종목코드,VARCHAR,10,,
12,ITEM_NM,종목명,VARCHAR,100,,
13,FCLTY_X_CRDNT_VALUE,시설X좌표값,VARCHAR,20,,
14,FCLTY_Y_CRDNT_VALUE,시설Y좌표값,VARCHAR,20,,
15,FCLTY_COURSE_SDIV_NM,시설강좌구분명,VARCHAR,4,,
16,COURSE_ITEM_NM,강좌종목명,VARCHAR,4000,,
17,COURSE_NM,강좌명,VARCHAR,100,,
18,FCLTY_DECSN_DE,시설결정일자,VARCHAR,8,,
