순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,FCLTY_NM,시설명,VARCHAR,200,,
2,FCLTY_SDIV_CD,시설구분코드,VARCHAR,20,,
3,FCLTY_FLAG_NM,시설구분명,VARCHAR,6,,
4,INDUTY_CD,업종코드,VARCHAR,20,,
5,INDUTY_NM,업종명,VARCHAR,100,,
6,FCLTY_TY_CD,시설유형코드,VARCHAR,20,,
7,FCLTY_TY_NM,시설유형명,VARCHAR,100,,
8,POSESN_MBY_CD,소유주체코드,VARCHAR,20,,
9,POSESN_MBY_NM,소유주체명,VARCHAR,4000,,
10,POSESN_MBY_CTPRVN_CD,소유주체시도코드,VARCHAR,20,,
11,POSESN_MBY_CTPRVN_NM,소유주체시도명,VARCHAR,100,,
12,POSESN_MBY_SIGNGU_CD,소유주체시군구코드,VARCHAR,20,,
13,POSESN_MBY_SIGNGU_NM,소유주체시군구명,VARCHAR,100,,
14,RSPNSBLTY_DEPT_NM,담당부서명,VARCHAR,200,,
15,RSPNSBLTY_TEL_NO,담당전화번호,VARCHAR,100,,
16,ROAD_NM_CTPRVN_CD,도로명시도코드,VARCHAR,10,,
17,ROAD_NM_CTPRVN_NM,도로명시도명,VARCHAR,50,,
18,ROAD_NM_SIGNGU_CD,도로명시군구코드,VARCHAR,10,,
19,ROAD_NM_SIGNGU_NM,도로명시군구명,VARCHAR,50,,
20,ROAD_NM_EMD_CD,도로명읍면동코드,VARCHAR,20,,
21,ROAD_NM_EMD_NM,도로명읍면동명,VARCHAR,50,,
22,ROAD_NM_LI_CD,도로명리코드,VARCHAR,20,,
23,ROAD_NM_LI_NM,도로명리명,VARCHAR,50,,
24,RDNMADR_NM,도로명주소명,VARCHAR,500,,
25,FCLTY_LO,시설경도,VARCHAR,20,,
26,FCLTY_LA,시설위도,VARCHAR,20,,
27,FCLTY_AR_CO,시설면적수,NUMERIC,22,,
28,ACMD_NMPR_CO,수용인원수,NUMERIC,22,,
29,ADTM_CO,관람석수,NUMERIC,22,,
30,FCLTY_HMPG_URL,시설홈페이지URL,VARCHAR,200,,
31,NATION_ALSFC_AT,국가체육시설여부,VARCHAR,1,,
32,FCLTY_STATE_CD,시설상태코드,VARCHAR,2,,
33,DEL_AT,삭제여부,VARCHAR,1,,
